via,NPTH,PTH,count,start_layer,end_layer,metric_min_mm,metric_max_mm,imperial_min_in,imperial_max_in,positions_mm,positions_in
false,true,false,4,1,16,2.540000,2.540000,0.100000,0.100000,(77.470000 91.440000)(156.210000 91.440000)(156.210000 20.320000)(77.470000 20.320000),(3.050000 3.600000)(6.150000 3.600000)(6.150000 0.800000)(3.050000 0.800000)
false,true,false,4,1,16,2.000000,2.000000,0.078740,0.078740,(78.200000 61.470000)(78.200000 40.770000)(101.500000 40.770000)(101.500000 61.470000),(3.078740 2.420079)(3.078740 1.605118)(3.996063 1.605118)(3.996063 2.420079)
false,false,true,10,1,16,1.000000,1.000000,0.039370,0.039370,(137.160000 82.550000)(101.800000 47.350000)(101.800000 49.890000)(101.800000 52.430000)(101.800000 54.970000)(137.160000 74.930000)(137.160000 77.470000)(137.160000 80.010000)(137.160000 85.090000)(137.160000 87.630000),(5.400000 3.250000)(4.007874 1.864173)(4.007874 1.964173)(4.007874 2.064173)(4.007874 2.164173)(5.400000 2.950000)(5.400000 3.050000)(5.400000 3.150000)(5.400000 3.350000)(5.400000 3.450000)
false,false,true,28,1,16,0.733000,0.733000,0.028858,0.028858,(138.430000 36.830000)(138.430000 34.290000)(138.430000 31.750000)(138.430000 29.210000)(138.430000 26.670000)(148.590000 26.670000)(148.590000 29.210000)(148.590000 31.750000)(148.590000 34.290000)(148.590000 36.830000)(148.590000 41.910000)(148.590000 44.450000)(148.590000 46.990000)(148.590000 49.530000)(148.590000 52.070000)(148.590000 54.610000)(148.590000 57.150000)(148.590000 39.370000)(138.430000 59.690000)(138.430000 57.150000)(138.430000 54.610000)(138.430000 52.070000)(138.430000 49.530000)(138.430000 46.990000)(138.430000 44.450000)(148.590000 59.690000)(138.430000 41.910000)(138.430000 39.370000),(5.450000 1.450000)(5.450000 1.350000)(5.450000 1.250000)(5.450000 1.150000)(5.450000 1.050000)(5.850000 1.050000)(5.850000 1.150000)(5.850000 1.250000)(5.850000 1.350000)(5.850000 1.450000)(5.850000 1.650000)(5.850000 1.750000)(5.850000 1.850000)(5.850000 1.950000)(5.850000 2.050000)(5.850000 2.150000)(5.850000 2.250000)(5.850000 1.550000)(5.450000 2.350000)(5.450000 2.250000)(5.450000 2.150000)(5.450000 2.050000)(5.450000 1.950000)(5.450000 1.850000)(5.450000 1.750000)(5.850000 2.350000)(5.450000 1.650000)(5.450000 1.550000)
true,false,false,25,1,16,0.350000,0.350000,0.013780,0.013780,(99.364800 67.970400)(119.634000 53.340000)(94.773750 29.527500)(94.773750 23.971250)(148.590000 43.180000)(138.430000 43.180000)(116.363750 46.990000)(116.363750 39.211250)(125.253750 41.910000)(125.253750 36.512500)(116.046250 30.480000)(116.046250 36.671250)(121.126250 85.090000)(108.108750 67.310000)(108.108750 63.817500)(104.298750 52.387500)(104.298750 63.976250)(121.126250 63.500000)(116.363750 61.912500)(104.933750 63.182500)(114.935000 40.957500)(114.617500 58.737500)(126.365000 65.563750)(118.872000 52.120800)(126.644400 53.492400),(3.912000 2.676000)(4.710000 2.100000)(3.731250 1.162500)(3.731250 0.943750)(5.850000 1.700000)(5.450000 1.700000)(4.581250 1.850000)(4.581250 1.543750)(4.931250 1.650000)(4.931250 1.437500)(4.568750 1.200000)(4.568750 1.443750)(4.768750 3.350000)(4.256250 2.650000)(4.256250 2.512500)(4.106250 2.062500)(4.106250 2.518750)(4.768750 2.500000)(4.581250 2.437500)(4.131250 2.487500)(4.525000 1.612500)(4.512500 2.312500)(4.975000 2.581250)(4.680000 2.052000)(4.986000 2.106000)
